"id","created_by","updated_by","deleted_by","created_at","updated_at","deleted_at","vehicle_id","variant_id","color_id"
"197","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","3","3","2"
"198","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","17","5","27"
"199","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","17","5","28"
"200","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","17","5","20"
"201","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","17","5","4"
"202","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","17","5","7"
"203","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","17","5","15"
"204","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","17","6","27"
"205","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","17","6","28"
"206","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","17","6","20"
"207","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","17","6","4"
"208","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","17","6","7"
"209","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","17","6","15"
"239","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","9","10","21"
"237","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","15","10","37"
"119","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","5","20","10"
"120","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","5","20","32"
"128","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","8","20","34"
"129","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","8","20","37"
"130","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","8","20","33"
"131","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","8","20","14"
"132","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","8","20","20"
"133","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","8","20","13"
"134","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","8","20","11"
"47","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","2","21","34"
"48","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","2","21","19"
"49","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","2","21","27"
"50","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","2","21","6"
"51","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","2","21","25"
"64","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","4","21","4"
"65","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","4","21","7"
"66","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","4","21","36"
"67","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","4","21","19"
"68","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","4","21","34"
"69","2","2","\N","2016-11-17 15:39:43.125","2016-11-17 15:39:43.125","\N","4","21","27"
